method,omega,delay,energy,viol,p95,feasible
dyn2_diffM1,0.000,12.36801,0.67808,0.22667,17.91737,0
dyn2_diffM1,0.100,12.19291,0.67861,0.21333,17.73532,0
dyn2_diffM1,0.200,11.90477,0.68029,0.19667,17.21554,0
dyn2_diffM1,0.300,11.72332,0.68135,0.16667,16.83813,0
dyn2_diffM1,0.400,11.51022,0.68406,0.14667,16.42049,0
dyn2_diffM1,0.500,11.23856,0.68710,0.12667,15.98809,0
dyn2_diffM1,0.600,10.96737,0.69044,0.10667,15.46738,0
dyn2_diffM1,0.700,10.68510,0.69478,0.09667,14.83264,1
dyn2_diffM1,0.800,10.37801,0.69858,0.06667,14.34773,1
dyn2_diffM1,0.900,10.07513,0.70450,0.04333,13.73473,1
dyn2_diffM1,1.000,9.82893,0.71103,0.03667,13.21768,1
dyn2_gauss14,0.000,19.26125,0.74196,0.70333,30.44524,0
dyn2_gauss14,0.100,18.51033,0.74146,0.66667,29.88971,0
dyn2_gauss14,0.200,17.94890,0.74307,0.63000,29.73692,0
dyn2_gauss14,0.300,17.27967,0.74649,0.60000,28.32383,0
dyn2_gauss14,0.400,16.47159,0.74788,0.56333,26.87409,0
dyn2_gauss14,0.500,16.08119,0.75145,0.54000,25.98079,0
dyn2_gauss14,0.600,15.36207,0.75788,0.47667,25.16219,0
dyn2_gauss14,0.700,14.89158,0.76333,0.43000,24.15460,0
dyn2_gauss14,0.800,14.41366,0.77205,0.41667,22.99320,0
dyn2_gauss14,0.900,14.20245,0.77592,0.39667,22.18136,0
dyn2_gauss14,1.000,14.18757,0.78716,0.40667,22.05450,0
A_random_sparse,0.500,21.66553,1.01369,0.67667,43.07077,0
B_proportional,0.500,9.27331,0.96693,0.05333,13.25349,1
C_greedy_delay,0.500,7.93410,0.79367,0.00000,10.01702,1
D_greedy_sla_energy,0.500,11.45235,0.61895,0.00333,13.57515,1
