method,param,delay,energy,violation_rate,p95
random_p,0.000,16.2143,0.06055,0.3012,50.218
random_p,0.100,14.1177,0.06244,0.2393,46.157
random_p,0.200,11.4514,0.06456,0.1733,42.406
random_p,0.300,10.8328,0.06682,0.1586,38.659
random_p,0.400,10.1147,0.06944,0.1441,35.120
random_p,0.500,9.7068,0.07229,0.1387,32.091
random_p,0.600,9.3149,0.07209,0.1266,31.258
random_p,0.700,9.0229,0.06877,0.1238,29.341
random_p,0.800,9.7697,0.05946,0.1476,31.615
random_p,0.900,11.2833,0.04897,0.1864,36.287
random_p,1.000,13.8190,0.03068,0.2467,41.650
oracle_greedy,0.000,16.7648,0.00531,0.3187,53.013
oracle_greedy,0.100,14.7779,0.02452,0.2643,45.708
oracle_greedy,0.200,11.7951,0.03113,0.1766,32.806
oracle_greedy,0.300,11.2055,0.03191,0.1562,30.196
oracle_greedy,0.400,11.0252,0.03231,0.1572,29.798
oracle_greedy,0.500,8.3569,0.04294,0.0965,22.464
oracle_greedy,0.600,5.2094,0.06014,0.0040,12.380
oracle_greedy,0.700,4.5091,0.07762,0.0022,10.760
oracle_greedy,0.800,4.6445,0.08310,0.0022,10.943
oracle_greedy,0.900,4.8126,0.08344,0.0027,11.308
oracle_greedy,1.000,4.9627,0.08331,0.0027,12.027
