method,omega,delay,energy,violation_rate,p95
ours,0.000,16.9340,0.01152,0.4180,53.279
ours,0.100,16.8365,0.01569,0.4221,53.236
ours,0.200,16.3934,0.02246,0.3971,53.287
ours,0.300,16.0913,0.03132,0.3869,50.240
ours,0.400,16.0125,0.03093,0.3821,49.937
ours,0.500,14.6812,0.03114,0.3517,50.922
ours,0.600,13.3783,0.03781,0.3142,47.287
ours,0.700,13.0336,0.04589,0.2970,43.231
ours,0.800,12.1355,0.04967,0.2686,44.307
ours,0.900,10.6792,0.06690,0.2437,38.908
ours,1.000,9.7343,0.07223,0.2024,34.040
random,,10.1659,0.06761,0.2246,34.052
round_robin,,7.3137,0.06864,0.1359,24.693
greedy_queue,,5.9513,0.08124,0.0857,17.047
