method,omega,delay,energy,violation_rate,p95
ours,0.000,10.3649,0.07445,0.2790,24.360
ours,0.100,10.5756,0.07474,0.2772,25.816
ours,0.200,9.9827,0.07532,0.2504,23.973
ours,0.300,9.8092,0.07507,0.2302,22.981
ours,0.400,10.0251,0.07359,0.2523,24.260
ours,0.500,9.8386,0.07360,0.2467,23.942
ours,0.600,9.7105,0.07442,0.2448,23.807
ours,0.700,9.3260,0.07572,0.2224,23.611
ours,0.800,8.6318,0.07735,0.1987,22.145
ours,0.900,8.4383,0.08047,0.1910,21.748
ours,1.000,8.6003,0.08099,0.1915,21.807
random,,10.1659,0.06761,0.2246,34.052
round_robin,,7.3137,0.06864,0.1359,24.693
greedy_queue,,5.9513,0.08124,0.0857,17.047
