method,omega,delay,energy,violation_rate,p95
ours,0.000,7.4383,0.08079,0.1174,18.086
ours,0.100,7.5019,0.07986,0.1231,17.936
ours,0.200,7.3362,0.08101,0.1192,17.875
ours,0.300,7.3650,0.08084,0.1214,18.381
ours,0.400,7.3152,0.08054,0.1236,18.489
ours,0.500,7.3126,0.08100,0.1291,18.020
ours,0.600,7.3083,0.08175,0.1219,18.145
ours,0.700,7.2501,0.08150,0.1251,17.815
ours,0.800,7.2644,0.08192,0.1307,18.354
ours,0.900,7.0917,0.08312,0.1211,18.194
ours,1.000,7.2456,0.08324,0.1322,18.682
random,,10.1659,0.06761,0.2246,34.052
round_robin,,7.3137,0.06864,0.1359,24.693
greedy_queue,,5.9513,0.08124,0.0857,17.047
