method,omega,delay,energy,violation_rate,p95
ours,0.000,17.5700,0.01349,0.2578,56.150
ours,0.100,17.6011,0.01819,0.2637,54.116
ours,0.200,16.4055,0.02293,0.2461,55.235
ours,0.300,16.1012,0.02621,0.2517,52.330
ours,0.400,15.5491,0.03088,0.2202,46.653
ours,0.500,14.7051,0.02982,0.2195,49.127
ours,0.600,12.7779,0.03728,0.1901,43.178
ours,0.700,11.3274,0.04463,0.1485,41.094
ours,0.800,10.1237,0.05378,0.1383,37.594
ours,0.900,9.5118,0.06539,0.1187,34.046
ours,1.000,10.3788,0.07047,0.1191,40.956
random,,10.1659,0.06761,0.1074,34.052
round_robin,,7.3137,0.06864,0.0627,24.693
greedy_queue,,5.9513,0.08124,0.0243,17.047
