method,omega,delay,energy,violation_rate,p95
ours,0.000,15.2590,0.06677,0.2068,39.078
ours,0.100,15.2026,0.06702,0.2146,38.709
ours,0.200,14.4823,0.06667,0.1984,39.351
ours,0.300,14.1465,0.06499,0.1895,36.860
ours,0.400,13.5498,0.06689,0.1714,35.132
ours,0.500,13.9236,0.06591,0.1914,37.679
ours,0.600,13.5125,0.06761,0.1896,35.898
ours,0.700,12.6721,0.06783,0.1660,36.161
ours,0.800,11.3057,0.07229,0.1507,34.831
ours,0.900,9.7674,0.07746,0.1034,30.382
ours,1.000,9.2188,0.07750,0.0890,27.331
random,,10.1659,0.06761,0.1074,34.052
round_robin,,7.3137,0.06864,0.0627,24.693
greedy_queue,,5.9513,0.08124,0.0243,17.047
