ep,w,mean_delay,mean_energy,violation_rate,p95,alpha,H,c_loss
0,0.7308558067701578,30.742604986373507,0.031821025387306,0.5555555555555556,74.45925883299928,nan,nan,nan
1,0.4545898672304828,18.448847659705795,0.023808244828164182,0.45454545454545453,50.28164215746588,nan,nan,nan
2,0.09092592982038039,11.29704062291355,0.003661820544659924,0.18181818181818182,48.53041044783288,nan,nan,nan
3,0.3949810681130538,8.089233168909065,0.019822226748882867,0.2222222222222222,32.452291776239605,nan,nan,nan
4,0.8044214253893696,14.051376672697614,0.005481679214063086,0.36363636363636365,39.20624211054469,0.05001499876379967,0.06731080263853073,0.21183191239833832
5,0.7841668388952904,8.858441393567011,0.003150418414963081,0.20833333333333334,42.129311564947756,0.050703010000288484,0.229211203455925,0.0692325589992106
6,0.5468735102987868,15.934999948478213,0.00931994727548097,0.3111111111111111,60.28516116758039,0.051606812849640846,0.39169988840818404,0.05452006556093693
7,0.390987564806491,16.952913181702968,0.012967352972747676,0.48936170212765956,42.89644583659856,0.05254550937563181,0.3499122467637062,0.06456177534535527
8,0.18267607630707183,11.722373737058046,0.0381908671943798,0.2857142857142857,49.62501284589783,0.053815963752567766,0.360325046479702,0.05479265369474888
9,0.7413584322683303,18.99533680692645,0.025444024187487778,0.4230769230769231,62.11323381776239,0.0549494993314147,0.392292845249176,0.05041056673973799
10,0.5805948250300117,16.9011586830745,0.049144830223177324,0.4,54.02499591206877,0.056068918146193025,0.394840239584446,0.04039153203368187
11,0.25839744045772106,16.189769974032345,0.015372762736323837,0.4,52.84942072340971,0.05737834088504314,0.3705324873328209,0.03494245115667582
12,0.6515012300620571,17.842736546944177,0.0058392738287189805,0.4,62.13848087209669,0.05917689952999353,0.3338309673964977,0.036362648252397774
13,0.7026068017053457,27.224717042113717,0.009158438384899728,0.5789473684210527,75.66349439646764,0.06142119511961937,0.30619597613811494,0.041538483574986455
14,0.8523820123522584,11.269607326346394,0.009161336504831662,0.2857142857142857,35.834232608650716,0.06393695019185543,0.29230386212468146,0.044387834817171096
15,0.891121524170242,10.746909168328289,0.009445067192996568,0.25,38.37541601296737,0.06667611971497536,0.272607823908329,0.04334787772968411
16,0.1380265846566544,8.873303466685158,0.015553649965005252,0.3181818181818182,24.64581617083417,0.06961348973214626,0.2608118519186974,0.04368845850229263
17,0.3029986443755618,11.248759422328963,0.007246314636133339,0.24,33.75007320573096,0.07272553279995918,0.24372603997588158,0.04268044486641884
18,0.9450662508138998,19.94629498458465,0.01655773037667313,0.5277777777777778,58.2646574431792,0.07604839041829109,0.23821840539574624,0.04675328316166997
19,0.06434344449547491,20.987774922105643,0.032335835911349774,0.5333333333333333,49.93549480755078,0.07920854121446609,0.2639224746823311,0.04954083852469921
20,0.839239241317355,21.238340703563804,0.011031633171666435,0.52,54.50316838358652,0.08237713858485222,0.2553274741768837,0.04972474517300725
21,0.360635301063272,17.533929813831236,0.0273620234624008,0.4074074074074074,58.552317317825654,0.08520526811480522,0.3881860530376434,0.07051240339875221
22,0.6095942156921805,15.6846964739613,0.05501281987953737,0.3880597014925373,48.234634675145735,0.08625256061553956,0.43014160841703414,0.059566726796329024
23,0.8707140855823174,23.036084088796155,0.032099831943667084,0.5076923076923077,59.877856589893504,0.08741771921515465,0.4184449502825737,0.052419611737132076
24,0.7389544813834342,22.137764334292417,0.025342540023941013,0.5102040816326531,67.03384603755678,0.08887718923389912,0.40376597583293916,0.05134209644049406
25,0.6622160164392565,28.744502153364245,0.03675232028541684,0.5833333333333334,81.71550079221164,0.09075924888253212,0.39079530209302904,0.048970472123473885
26,0.2581289502480767,9.864030316166215,0.013389856149669099,0.16666666666666666,33.519249406428735,0.09280256852507592,0.3909576866030693,0.04802150389179587
27,0.437509190131844,20.640303262052264,0.037022738127271304,0.43859649122807015,64.30166648750098,0.0949643199890852,0.3891144549846649,0.047649935130029915
28,0.3001713064061007,13.217353040546174,0.06236846609193655,0.23076923076923078,54.84255561139852,0.09722319208085536,0.39579002737998964,0.05224340444430709
29,0.35133682095918073,12.49572274569105,0.023148722425283676,0.34782608695652173,38.8622089503347,0.09994076512753963,0.368774231672287,0.05340597013011575
30,0.9919055014447209,21.152175350351545,0.021288318056118725,0.48717948717948717,73.75641640668934,0.10326220400631428,0.3587227815389633,0.0505284902639687
