method,omega,delay,energy,violation_rate,p95
ours,0.000,13.0129,0.02738,0.2099,43.380
ours,0.100,13.9817,0.02939,0.2500,47.303
ours,0.200,10.9841,0.03154,0.1683,40.700
ours,0.300,11.3910,0.03190,0.1949,35.391
ours,0.400,10.7627,0.03903,0.1707,36.891
ours,0.500,11.1176,0.04053,0.1949,36.608
ours,0.600,9.7712,0.04191,0.1598,30.416
ours,0.700,10.0457,0.04658,0.1681,33.824
ours,0.800,8.3408,0.05686,0.1102,25.730
ours,0.900,7.7697,0.06362,0.0928,24.785
ours,1.000,7.5753,0.06847,0.0780,23.080
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
