method,omega,delay,energy,violation_rate,p95
ours,0.000,11.5562,0.03067,0.1626,40.447
ours,0.100,12.1999,0.02938,0.2125,38.297
ours,0.200,12.1164,0.03075,0.2215,40.676
ours,0.300,11.3399,0.03562,0.1930,34.189
ours,0.400,11.4880,0.04019,0.1909,38.862
ours,0.500,9.3251,0.04440,0.1268,28.518
ours,0.600,8.9046,0.05231,0.1241,27.108
ours,0.700,8.3787,0.06003,0.0965,25.955
ours,0.800,7.5152,0.06477,0.0715,21.893
ours,0.900,7.0043,0.06790,0.0646,20.322
ours,1.000,7.0974,0.07104,0.0541,19.592
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
