method,omega,delay,energy,violation_rate,p95
ours,0.000,12.9989,0.04673,0.3000,46.195
ours,0.100,12.6042,0.04517,0.2956,46.138
ours,0.200,14.2347,0.04196,0.3280,46.266
ours,0.300,13.8856,0.04593,0.2901,45.161
ours,0.400,12.6959,0.03378,0.2954,44.721
ours,0.500,12.3584,0.04589,0.2695,42.706
ours,0.600,12.4759,0.04891,0.2810,42.500
ours,0.700,11.7668,0.05344,0.2705,37.325
ours,0.800,11.4076,0.06017,0.2435,37.849
ours,0.900,12.0268,0.06468,0.2732,41.505
ours,1.000,10.5567,0.06326,0.2623,33.457
random,,10.1659,0.06761,0.2246,34.052
round_robin,,7.3137,0.06864,0.1359,24.693
greedy_queue,,5.9513,0.08124,0.0857,17.047
