ep,w,mean_delay,mean_energy,violation_rate,p95,alpha,H,c_loss
0,0.7308558067701578,30.742604986373507,0.031821025387306,0.5555555555555556,74.45925883299928,nan,nan,nan
1,0.4545898672304828,18.448847659705795,0.023808244828164182,0.45454545454545453,50.28164215746588,nan,nan,nan
2,0.09092592982038039,11.29704062291355,0.003661820544659924,0.18181818181818182,48.53041044783288,nan,nan,nan
3,0.3949810681130538,8.089233168909065,0.019822226748882867,0.2222222222222222,32.452291776239605,nan,nan,nan
4,0.8044214253893696,14.051376672697614,0.005481679214063086,0.36363636363636365,39.20624211054469,0.05001499876379967,0.059933606535196304,1.0383405685424805
5,0.7841668388952904,8.316953173944828,0.004381682683591388,0.19230769230769232,40.09218393765419,0.0507035793364048,0.2192722711339593,0.9830417513847352
6,0.5468735102987868,15.934999948478213,0.00931994727548097,0.3111111111111111,60.28516116758039,0.05191768657416105,0.2258341707289219,0.959348241686821
7,0.390987564806491,17.64598194121603,0.007662006687645206,0.3,60.605482662368544,0.05360768590122461,0.17481921538710593,0.933885580599308
8,0.18267607630707183,10.902620074036568,0.013843207786136897,0.21951219512195122,42.78092929197636,0.05546291042119265,0.17222487829625607,0.9546558806300163
9,0.7413584322683303,12.009900682276234,0.021743166376505245,0.32,47.03556610039125,0.057261743508279325,0.1892098645120859,0.632670981734991
10,0.5805948250300117,21.010786093948838,0.0523892857409826,0.4,70.42429513895861,0.059122057668864726,0.19261264204978942,0.4751421621441841
11,0.25839744045772106,16.370625651013675,0.015989282331677995,0.3333333333333333,63.599067067348805,0.06100014436990023,0.21297130033373832,0.4806179124116898
12,0.6515012300620571,17.841870809231754,0.005880344524083007,0.4,62.13848087209669,0.0628954341635108,0.21031121879816056,0.6570680591464043
13,0.7026068017053457,27.224717042113717,0.009158438384899728,0.5789473684210527,75.66349439646764,0.06499558329582214,0.18447980731725694,0.6888534870743751
14,0.8523820123522584,11.269607326346394,0.009161336504831662,0.2857142857142857,35.834232608650716,0.06730339244008064,0.1727151983976364,0.6061872307956219
15,0.891121524170242,10.746909168328289,0.009445067192996568,0.25,38.37541601296737,0.0697561827301979,0.16674652591347694,0.5639437592029571
16,0.1380265846566544,23.65766781450935,0.01572818642579686,0.45161290322580644,65.78454050947111,0.07242350347340107,0.14727439008653165,0.6727256287634372
17,0.3029986443755618,20.061485811279873,0.027483139782867143,0.42424242424242425,63.4233947751478,0.07526589140295982,0.1419341825693846,0.7286036723852157
18,0.9450662508138998,22.096373856617486,0.006382797687372435,0.5882352941176471,65.33221567098505,0.07823704674839974,0.13659489311277867,0.6933986309170723
19,0.06434344449547491,17.264032958118126,0.01732241043427925,0.3076923076923077,50.864235075719705,0.08131626389920711,0.13484866946935653,0.7132461425662041
20,0.839239241317355,20.852675593942855,0.02542854763717522,0.52,54.50316838358652,0.08456910796463489,0.1278825134038925,0.6344546291232109
21,0.360635301063272,19.749060710600876,0.019223556166741266,0.4418604651162791,64.07638220365172,0.08788333341479301,0.137111554518342,0.7407527244091034
22,0.6095942156921805,26.144360273722533,0.036257512024056957,0.5714285714285714,64.75960120872901,0.09129883199930192,0.13276553481817246,0.7512294214963913
23,0.8707140855823174,18.58406767720363,0.016174743120964695,0.5757575757575758,42.059595688476875,0.0949522790312767,0.11533175874501467,0.7489724147319794
24,0.7389544813834342,21.750086746545158,0.006623258340018108,0.5,52.49723146530339,0.09884529672563076,0.10818989712744952,0.7193380051851272
25,0.6622160164392565,11.64726402449509,0.02584416779713929,0.5,30.77140427350494,0.10295401133596897,0.09723625846207141,0.7967611506581307
26,0.2581289502480767,20.425106406856223,0.017425584667384333,0.43333333333333335,72.20905959358464,0.10726446837186814,0.09871313646435738,0.6984049785137176
27,0.437509190131844,17.33955519363816,0.004267906563335046,0.35714285714285715,63.53592897377841,0.11169010043144226,0.10560552269220352,0.7641887879371643
28,0.3001713064061007,11.063737654978421,0.008759866926368126,0.21212121212121213,33.77916459090089,0.11616731345653535,0.1082506599277258,0.8578499302268028
29,0.35133682095918073,13.57556327691984,0.020597330375893043,0.36666666666666664,51.291924094087754,0.12079771988093853,0.11971732687205076,0.920677387714386
30,0.9919055014447209,14.371790907805124,0.01742214057126081,0.36666666666666664,49.41440312308052,0.12552760027348994,0.1143321554362774,0.9480283942818641
