method,omega,delay,energy,violation_rate,p95
ours,0.000,12.7521,0.04852,0.2215,31.234
ours,0.100,12.7174,0.04934,0.2125,29.798
ours,0.200,13.0228,0.04843,0.2364,31.454
ours,0.300,12.3553,0.04856,0.1962,30.376
ours,0.400,12.8878,0.04836,0.2196,31.537
ours,0.500,12.6763,0.04802,0.2160,29.567
ours,0.600,12.5595,0.04897,0.2104,30.252
ours,0.700,13.0446,0.04888,0.2330,31.046
ours,0.800,12.9264,0.04890,0.2245,30.613
ours,0.900,12.4072,0.04829,0.2112,28.992
ours,1.000,12.6921,0.04857,0.2154,30.525
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
