method,omega,delay,energy,violation_rate,p95
ours,0.000,16.0821,0.01080,0.3281,46.793
ours,0.100,14.7835,0.01849,0.2666,49.861
ours,0.200,14.6792,0.02435,0.2815,45.426
ours,0.300,13.7115,0.02506,0.2255,47.264
ours,0.400,13.9535,0.02875,0.2375,46.443
ours,0.500,14.0348,0.03165,0.2429,47.355
ours,0.600,12.3279,0.03457,0.2205,44.704
ours,0.700,13.8494,0.04352,0.2584,45.411
ours,0.800,11.8324,0.05514,0.1938,39.833
ours,0.900,9.4830,0.05782,0.1504,31.158
ours,1.000,11.4823,0.05983,0.1968,36.592
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
