method,omega,delay,energy,violation_rate,p95
ours,0.000,8.7600,0.06081,0.1257,27.934
ours,0.100,8.7600,0.06081,0.1257,27.934
ours,0.200,8.7600,0.06081,0.1257,27.934
ours,0.300,8.7600,0.06081,0.1257,27.934
ours,0.400,8.7600,0.06081,0.1257,27.934
ours,0.500,8.7600,0.06081,0.1257,27.934
ours,0.600,8.7600,0.06081,0.1257,27.934
ours,0.700,8.7600,0.06081,0.1257,27.934
ours,0.800,8.7600,0.06081,0.1257,27.934
ours,0.900,8.7600,0.06081,0.1257,27.934
ours,1.000,8.7600,0.06081,0.1257,27.934
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
