method,omega,delay,energy,violation_rate,p95
ours,0.000,14.0941,0.02853,0.2628,43.677
ours,0.100,15.1024,0.02688,0.2860,53.141
ours,0.200,14.7747,0.02691,0.2720,51.205
ours,0.300,14.6822,0.02770,0.2765,49.387
ours,0.400,15.8677,0.03065,0.2835,52.852
ours,0.500,14.9602,0.03073,0.2698,52.324
ours,0.600,13.7238,0.03254,0.2506,45.511
ours,0.700,13.9996,0.03452,0.2527,47.658
ours,0.800,12.1524,0.04039,0.1971,44.061
ours,0.900,11.3305,0.05240,0.1880,41.872
ours,1.000,9.6598,0.06315,0.1492,36.338
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
