method,omega,delay,energy,violation_rate,p95
ours,0.000,15.9343,0.02630,0.3032,50.015
ours,0.100,16.7065,0.02787,0.3187,49.755
ours,0.200,15.8017,0.02604,0.3062,48.907
ours,0.300,16.9813,0.02765,0.3259,49.206
ours,0.400,15.3671,0.02586,0.2838,47.925
ours,0.500,15.8380,0.02643,0.3030,46.782
ours,0.600,15.6194,0.02834,0.3113,45.425
ours,0.700,16.0438,0.02780,0.3251,48.088
ours,0.800,15.0846,0.02632,0.2810,49.292
ours,0.900,16.1601,0.02708,0.3060,50.681
ours,1.000,16.3843,0.02811,0.3178,49.840
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
