ep,w,mean_delay,mean_energy,violation_rate,p95,alpha,H,c_loss
0,0.7308558067701578,15.128894741331493,0.06579727236234122,0.22666666666666666,54.50872547424517,nan,nan,nan
1,0.4545898672304828,11.068290234152007,0.04924381305234936,0.18072289156626506,29.76017469858755,nan,nan,nan
2,0.09092592982038039,11.12723203969091,0.0697171483513768,0.12359550561797752,25.124118779895657,nan,nan,nan
3,0.3949810681130538,11.041575042746542,0.0449430424198784,0.1978021978021978,42.826157978239,nan,nan,nan
4,0.8044214253893696,10.610340775525735,0.07594136595027415,0.18604651162790697,33.94842220496307,0.05001499876379967,0.21082884073257446,0.07362984120845795
5,0.7841668388952904,14.857435654010272,0.040707671253355886,0.3246753246753247,42.16605269026353,0.050779408141970635,0.21422559931874274,0.03689156829379499
6,0.5468735102987868,8.164356546130172,0.021800334785113226,0.09722222222222222,31.633099012402177,0.05234791710972786,0.20610383599996568,0.01956126568838954
7,0.390987564806491,14.594172120731331,0.028386001799367507,0.25333333333333335,50.92440056852626,0.05401417948305607,0.2054831738770008,0.011972992746159435
8,0.18267607630707183,15.977844277473245,0.03852604905950493,0.2857142857142857,66.68418405537125,0.0557530128583312,0.20189633265137671,0.014093712288886309
9,0.7413584322683303,22.710374576286416,0.033157428831273705,0.44776119402985076,60.37767927472033,0.057552399449050426,0.20531280860304832,0.016597343063913285
10,0.5805948250300117,19.912915137013176,0.04214590150738048,0.38571428571428573,47.33234761227578,0.059408604688942435,0.21055359572172164,0.016936625400558115
11,0.25839744045772106,12.244839010661607,0.01618625820241219,0.25,42.62466245610532,0.061352961361408234,0.20336350724101065,0.016248585055582226
12,0.6515012300620571,17.856578417131363,0.00531343056931613,0.2857142857142857,62.15425715603095,0.06345567107200623,0.19057874426245688,0.022623653020709754
13,0.7026068017053457,14.219536186608556,0.02671905164015806,0.25,42.1087923865375,0.06569782741367818,0.18323769629001618,0.03503885915502906
14,0.8523820123522584,11.270183677377183,0.009161336504831663,0.1836734693877551,35.83699133168893,0.06807475581765175,0.17870821729302405,0.03289523786865175
15,0.891121524170242,7.161859019128282,0.011506205906906871,0.031746031746031744,18.192117622886197,0.07060866147279739,0.16697940774261952,0.03467368755489588
16,0.1380265846566544,16.98665334615814,0.03938203975267484,0.36,45.88955522574713,0.07329182788729667,0.16106141105294228,0.032930400865152476
17,0.3029986443755618,14.847835875475663,0.06596325111758447,0.3125,46.3890051700013,0.07603449285030366,0.18342262499034404,0.05676373703405261
18,0.9450662508138998,17.69539213197716,0.07118817234800509,0.34285714285714286,56.550483254856594,0.07870720624923706,0.1925657144188881,0.050312902573496104
19,0.06434344449547491,12.758268830735574,0.0738824737217844,0.24675324675324675,32.82404611634523,0.08152409546077251,0.18340324640274047,0.051690967772156
20,0.839239241317355,12.429107068329625,0.0467343254546082,0.23880597014925373,46.73676837303357,0.08449326410889625,0.1819998373091221,0.049540945310145613
21,0.360635301063272,16.59796578548465,0.045279394764390545,0.3,72.60824345902766,0.08762720063328742,0.18056629851460457,0.05580897429957986
22,0.6095942156921805,13.677907100561164,0.07015974138064886,0.20454545454545456,41.66358412478004,0.0908816932886839,0.1866351056098938,0.06212027117609978
23,0.8707140855823174,14.990032781920567,0.06372944177969356,0.2608695652173913,49.43660050792676,0.09425311088562012,0.17892970144748688,0.06002144023776054
24,0.7389544813834342,13.2808755434272,0.050960030842602484,0.2222222222222222,51.709620269049566,0.09781109176576137,0.18384706556797029,0.05868932217359543
25,0.6622160164392565,17.229065052809162,0.06811174030363501,0.3333333333333333,42.199468232093466,0.10150590509176255,0.18575019419193267,0.06182705853134394
26,0.2581289502480767,11.730567383802681,0.07238663330221534,0.20634920634920634,37.42974936205813,0.10533625230193139,0.1848150050640106,0.06219191204756498
27,0.437509190131844,17.58689286425012,0.04760100480079249,0.3484848484848485,61.87686483575574,0.10931429199874401,0.18357213392853736,0.062454008124768735
28,0.3001713064061007,12.480051791266542,0.07023985007239285,0.2112676056338028,38.31575897428047,0.11352438159286976,0.180813547372818,0.06508651223033667
29,0.35133682095918073,6.347979379339974,0.049978651580172125,0.06666666666666667,24.11252606370939,0.1179396741092205,0.17972012609243393,0.07184428378939628
30,0.9919055014447209,14.890147737263067,0.03992188902758356,0.30120481927710846,46.55521039771311,0.1225559613853693,0.1782737971097231,0.07042399987578392
31,0.9907420931065698,10.656710720673013,0.051843021341639685,0.15476190476190477,32.357411538406765,0.12737450174987316,0.17919372990727425,0.06849768608808518
32,0.15133658530673477,13.326217863456462,0.04914208084430653,0.24561403508771928,49.50748070947126,0.13238931819796562,0.17344144992530347,0.06860744968056678
33,0.4041383713818133,18.441462695376448,0.03806139967716303,0.3333333333333333,71.92207328661281,0.1376444773375988,0.18387982562184335,0.07428922813385724
34,0.26244653272447993,11.65514440412961,0.05852968241816574,0.15,43.65241791768453,0.1430402198433876,0.1750692731887102,0.07845270328223705
35,0.06040526824583026,12.090560013185428,0.05120247378986023,0.2054794520547945,46.409835980588774,0.14875634640455246,0.1784370794892311,0.07199476353824139
36,0.02091956479329815,11.555296219868012,0.07353362007185736,0.2571428571428571,33.661289730328484,0.1546730676293373,0.17345164328813553,0.07252160280942917
37,0.06304957468429984,12.824139444842325,0.05492835086467857,0.2619047619047619,46.8723420507768,0.16089312598109246,0.17818057276308535,0.07349774278700352
38,0.9812297364913265,15.429167970884164,0.06722962005204237,0.29508196721311475,45.65744311729405,0.16729260072112084,0.17875626251101495,0.07702586222440004
