method,omega,delay,energy,violation_rate,p95
ours,0.000,17.7941,0.01913,0.3278,58.571
ours,0.100,17.6560,0.01801,0.3233,56.240
ours,0.200,15.9188,0.01862,0.2951,52.486
ours,0.300,16.5042,0.01794,0.3070,56.333
ours,0.400,16.4720,0.01983,0.3189,51.493
ours,0.500,14.7007,0.02281,0.2662,47.040
ours,0.600,15.8808,0.02467,0.2873,50.649
ours,0.700,15.2224,0.02445,0.2701,53.981
ours,0.800,11.5644,0.03415,0.1850,41.378
ours,0.900,14.3885,0.04439,0.2306,49.747
ours,1.000,12.1989,0.05454,0.1678,39.188
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
