method,omega,delay,energy,violation_rate,p95
ours,0.000,11.4115,0.03075,0.1957,37.613
ours,0.100,10.8808,0.03616,0.1781,34.607
ours,0.200,10.2396,0.03776,0.1563,30.921
ours,0.300,9.2744,0.04174,0.1270,28.688
ours,0.400,8.3382,0.04670,0.1009,25.146
ours,0.500,7.3881,0.05006,0.0596,20.084
ours,0.600,6.5948,0.05239,0.0301,17.828
ours,0.700,6.0355,0.05568,0.0147,16.310
ours,0.800,5.3677,0.06336,0.0053,13.995
ours,0.900,5.8704,0.07467,0.0170,15.546
ours,1.000,7.1012,0.07709,0.0509,19.730
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
