method,omega,delay,energy,violation_rate,p95
ours,0.000,12.2813,0.02516,0.2116,40.825
ours,0.100,12.0798,0.02421,0.2082,42.513
ours,0.200,12.9968,0.02552,0.2145,46.337
ours,0.300,11.1392,0.02776,0.1934,36.786
ours,0.400,13.4470,0.02502,0.2428,44.157
ours,0.500,12.7486,0.02701,0.2247,43.745
ours,0.600,11.9096,0.03094,0.2123,37.123
ours,0.700,10.4465,0.03085,0.1568,37.336
ours,0.800,10.6166,0.03293,0.1684,38.952
ours,0.900,11.3533,0.03582,0.1927,39.294
ours,1.000,11.2862,0.04201,0.1686,38.781
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
