method,omega,delay,energy,violation_rate,p95
ours,0.000,10.7983,0.03431,0.1906,32.666
ours,0.100,11.1809,0.03353,0.1886,35.882
ours,0.200,11.2206,0.03808,0.1832,36.810
ours,0.300,10.1916,0.04085,0.1743,33.279
ours,0.400,9.9996,0.03979,0.1611,35.280
ours,0.500,10.5681,0.04605,0.1608,36.900
ours,0.600,10.1105,0.04920,0.1550,33.105
ours,0.700,9.6115,0.05284,0.1536,33.829
ours,0.800,9.0316,0.05540,0.1284,29.876
ours,0.900,8.2548,0.06326,0.0921,26.733
ours,1.000,8.4077,0.06642,0.1159,26.860
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
