method,omega,delay,energy,violation_rate,p95
ours,0.000,19.1819,0.00929,0.3714,58.236
ours,0.100,19.0849,0.01050,0.3439,60.216
ours,0.200,17.4960,0.00915,0.3522,51.937
ours,0.300,18.5922,0.01055,0.3542,57.073
ours,0.400,19.5425,0.01285,0.3773,58.432
ours,0.500,18.9818,0.00896,0.3707,56.315
ours,0.600,17.7654,0.00859,0.3670,51.518
ours,0.700,20.6854,0.01278,0.3957,62.424
ours,0.800,18.9023,0.00863,0.3840,55.465
ours,0.900,19.6008,0.01168,0.3868,58.535
ours,1.000,22.1704,0.01751,0.4039,60.928
random,,8.7600,0.06081,0.1257,27.934
round_robin,,6.0158,0.05873,0.0399,18.792
greedy_queue,,4.3334,0.07299,0.0021,11.283
