omega_T,delay,energy
0.0000,47.542454,3.761799
0.0500,49.317517,4.049321
0.1000,55.163242,3.969271
0.1500,45.172191,3.853314
0.2000,44.374965,4.166499
0.2500,47.146662,3.549047
0.3000,43.720992,3.914019
0.3500,36.439024,4.191081
0.4000,29.903178,4.782714
0.4500,39.052928,3.995119
0.5000,39.963720,3.725020
0.5500,34.683683,4.065047
0.6000,35.288916,4.076956
0.6500,32.471046,3.907541
0.7000,20.609564,4.512460
0.7500,22.109373,4.114152
0.8000,24.033161,4.595830
0.8500,27.517674,4.107119
0.9000,25.436774,4.749964
0.9500,26.594948,4.221364
1.0000,31.655381,3.939149
