omega_T,delay,energy
0.0000,252.385887,2.967017
0.0500,229.003799,3.553690
0.1000,228.210594,3.428311
0.1500,200.525321,3.487383
0.2000,194.305466,3.606886
0.2500,209.652456,3.032329
0.3000,189.099779,3.836873
0.3500,170.898204,4.141397
0.4000,158.963026,4.044822
0.4500,174.160247,3.220422
0.5000,143.783536,3.917560
0.5500,155.542131,3.561967
0.6000,151.807805,3.428782
0.6500,137.279466,3.394010
0.7000,124.924876,4.049326
0.7500,121.548912,3.689824
0.8000,103.970056,4.354510
0.8500,126.019818,3.511126
0.9000,97.914805,4.840622
0.9500,92.271630,4.165726
1.0000,111.621592,3.985569
