omega_T,delay,energy
0.0000,21.997891,4.125311
0.0500,25.136522,4.196278
0.1000,22.247709,4.438116
0.1500,21.139019,3.979416
0.2000,15.494470,4.519119
0.2500,20.480313,3.796768
0.3000,18.672362,4.137974
0.3500,16.860846,4.223705
0.4000,15.037844,4.828123
0.4500,18.226844,4.127933
0.5000,20.757653,3.840114
0.5500,20.739464,4.140945
0.6000,22.845431,4.309709
0.6500,21.224727,3.989974
0.7000,10.661460,4.596126
0.7500,12.277715,4.201608
0.8000,14.662180,4.701294
0.8500,19.005895,4.205561
0.9000,16.884119,4.761988
0.9500,19.284964,4.220914
1.0000,23.298223,4.004347
