omega_T,delay,energy
0.0000,439.704412,1.239279
0.0500,420.444427,1.546688
0.1000,417.582523,1.478556
0.1500,377.677387,1.553467
0.2000,407.984721,1.469411
0.2500,444.253749,1.203764
0.3000,432.014230,1.358377
0.3500,385.800694,1.767751
0.4000,345.858365,2.089167
0.4500,408.593320,1.497192
0.5000,441.308814,1.096946
0.5500,417.724555,1.352657
0.6000,412.480071,1.561921
0.6500,420.103503,1.276822
0.7000,385.104699,1.567901
0.7500,435.805336,1.260318
0.8000,408.493446,1.408517
0.8500,426.163807,1.408252
0.9000,386.219865,1.604744
0.9500,373.498934,1.578259
1.0000,385.555597,1.722295
