omega_T,delay,energy
0.0000,427.264104,1.238907
0.0500,99.805191,2.208751
0.1000,59.968822,2.825315
0.1500,38.318996,2.950543
0.2000,34.589045,3.253090
0.2500,31.567637,3.035943
0.3000,26.633997,3.427060
0.3500,23.203862,3.578310
0.4000,19.230954,4.307889
0.4500,21.843057,3.700582
0.5000,24.241334,3.373400
0.5500,23.527381,3.722518
0.6000,24.225812,4.046970
0.6500,22.711458,3.744679
0.7000,12.493782,4.228140
0.7500,13.422405,3.958963
0.8000,15.179013,4.523458
0.8500,19.382734,4.048284
0.9000,17.157088,4.555671
0.9500,19.274517,4.146425
1.0000,23.298223,4.004347
