omega_T,delay,energy
0.0000,47.269727,3.707526
0.0500,49.094023,3.971361
0.1000,46.009363,4.109796
0.1500,43.892955,3.806260
0.2000,39.816527,4.160657
0.2500,42.763266,3.609590
0.3000,45.722234,3.849390
0.3500,39.561658,3.962440
0.4000,36.337591,4.540923
0.4500,43.161040,3.713606
0.5000,50.514303,3.570744
0.5500,45.592242,3.674510
0.6000,47.501246,3.971475
0.6500,44.279614,3.596535
0.7000,32.340553,4.352599
0.7500,34.565327,3.833601
0.8000,50.468455,4.250967
0.8500,48.086053,3.974537
0.9000,50.038654,4.215424
0.9500,50.456986,3.928092
1.0000,65.251749,3.567027
