omega_T,delay,energy
0.0000,31.932755,3.485884
0.0500,34.812668,3.691299
0.1000,33.153021,3.850853
0.1500,27.907223,3.557734
0.2000,24.525251,3.908323
0.2500,29.421121,3.304357
0.3000,27.719324,3.575991
0.3500,23.478906,3.753693
0.4000,22.501045,4.314068
0.4500,26.828095,3.583532
0.5000,31.209647,3.191906
0.5500,31.847945,3.440429
0.6000,34.072414,3.644442
0.6500,31.026826,3.405123
0.7000,18.551908,3.991255
0.7500,21.869963,3.523340
0.8000,24.157049,4.083435
0.8500,29.698303,3.511403
0.9000,25.932495,4.032066
0.9500,26.657157,3.747350
1.0000,30.145985,3.571458
