omega_T,delay,energy
0.0000,31.184933,3.501379
0.0500,34.734822,3.670184
0.1000,32.976368,3.839609
0.1500,27.573073,3.566223
0.2000,24.212503,3.916805
0.2500,29.418691,3.298260
0.3000,27.612039,3.565512
0.3500,23.354911,3.755687
0.4000,22.127257,4.316593
0.4500,26.658458,3.590372
0.5000,30.554036,3.205563
0.5500,31.061633,3.452262
0.6000,33.849900,3.638205
0.6500,30.721825,3.412431
0.7000,18.223523,3.987493
0.7500,21.861553,3.518319
0.8000,24.527761,4.067043
0.8500,29.901579,3.505718
0.9000,25.334009,4.042808
0.9500,26.648252,3.732508
1.0000,29.769630,3.566020
