omega_T,delay,energy
0.0000,185.537241,2.606657
0.0500,138.858049,3.171802
0.1000,107.412558,3.348382
0.1500,71.624041,3.024495
0.2000,34.244206,3.783092
0.2500,33.099765,3.345176
0.3000,27.427015,3.783399
0.3500,22.015753,3.947294
0.4000,18.221741,4.692214
0.4500,21.354023,3.995884
0.5000,26.473697,3.611932
0.5500,23.717304,4.010674
0.6000,24.744140,4.266140
0.6500,23.464617,3.895659
0.7000,12.841524,4.533541
0.7500,14.284234,4.080796
0.8000,16.648421,4.629467
0.8500,20.650938,4.161894
0.9000,19.080950,4.641835
0.9500,20.960231,4.171828
1.0000,24.986844,3.964043
