omega_T,delay,energy
0.0000,177.145837,2.742432
0.0500,131.006969,2.966256
0.1000,85.031614,3.319550
0.1500,60.107203,3.240009
0.2000,53.372781,3.452421
0.2500,52.456202,2.920500
0.3000,45.026229,3.256678
0.3500,31.869381,3.735947
0.4000,25.500567,4.388791
0.4500,28.036642,3.747164
0.5000,31.486971,3.357417
0.5500,27.620502,3.840137
0.6000,27.197436,4.139761
0.6500,26.461690,3.766267
0.7000,16.653833,4.433115
0.7500,18.934182,3.930266
0.8000,17.985145,4.556138
0.8500,22.778161,4.064153
0.9000,20.824566,4.498131
0.9500,22.568439,4.099561
1.0000,25.947602,3.955436
