omega_T,delay,energy
0.0000,129.758151,2.349809
0.0500,120.236630,2.745249
0.1000,153.004900,2.606200
0.1500,93.530343,2.817935
0.2000,81.015538,2.982298
0.2500,63.752247,2.764225
0.3000,53.774312,2.987667
0.3500,31.109339,3.578768
0.4000,22.879590,4.409645
0.4500,24.861678,3.807711
0.5000,27.766633,3.485760
0.5500,26.412914,3.800336
0.6000,26.478719,4.078469
0.6500,24.742701,3.827945
0.7000,14.798697,4.247689
0.7500,16.256709,3.983759
0.8000,17.192952,4.528686
0.8500,22.053809,4.064029
0.9000,19.391525,4.635245
0.9500,21.832498,4.128511
1.0000,26.091353,3.924703
