omega_T,delay,energy
0.0000,64.234339,2.956046
0.0500,73.258599,3.041444
0.1000,74.042128,3.224495
0.1500,48.125141,3.217378
0.2000,41.216736,3.595503
0.2500,49.105126,2.959502
0.3000,38.089652,3.357313
0.3500,27.153360,3.772458
0.4000,22.639375,4.475448
0.4500,25.287124,3.850323
0.5000,28.934304,3.489279
0.5500,25.824125,3.867819
0.6000,26.376416,4.189836
0.6500,25.279926,3.842689
0.7000,15.503771,4.381000
0.7500,17.134657,3.984964
0.8000,18.443460,4.526648
0.8500,22.698145,4.069132
0.9000,20.315095,4.559751
0.9500,22.763991,4.120985
1.0000,26.509111,3.893167
